I ^vm+i0+00++++i+
, ^punc++,+++++
y ^con+coor+++++y+
en ^en++++++en+
el ^lms+def+++++el+
centro ^nms+com+++++centro+
una ^lfs+ind+++++un+
porción ^nfs+com+++++porción+
de ^en++++++de+
figuras ^nfp+com+++++figura+
y ^con+coor+++++y+
escenas ^nfp+com+++++escena+
bíblicas ^jfp++++++bíblico+
. ^punc+sent+.+++++
Desde ^en++++++desde+
el ^lms+def+++++el+
suelo ^nms+com+++++suelo+
hasta ^en++++++hasta+
cerca ^en++++++cerca+
de ^en"++++++de+
'l ^lms+def+++++el+
techo ^nms+com+++++techo+
se ^p3cn+per++psv+++él+
levantaba ^vm+ii+?s++++levantar+
una ^lfs+ind+++++un+
gradería ^n+++++??++
de ^en++++++de+
madera ^nfs+com+++++madera+
muy ^r++++++muy+
empinada ^jfs+++++!!+empinado+
con ^en++++++con+
una ^lfs+ind+++++un+
escalera ^nfs+com+++++escalera+
central ^jcs+++++!!+central+
, ^punc++,+++++
lo ^p3cn+rel+++++él+
que ^p3cn"+rel+++++que+
daba ^vm+ii+?s++++dar+
a ^en++++++a+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
el ^lms+def+++++el+
aspecto ^nms+com+++++aspecto+
de ^en++++++de+
'l ^lms+def+++++el+
gallinero ^nms+com+++++gallinero+
de ^en++++++de+
un ^lms+ind+++++un+
teatro ^nms+com+++++teatro+
. ^punc+sent+.+++++
Los ^lmp+def+++++el+
estudiantes ^ncp+com++++!!+estudiante+
llenaron ^vm+is+3p++++llenar+
los ^lmp+def+++++el+
bancos ^nmp+com+++++banco+
casi ^r++++++casi+
hasta ^en++++++hasta+
arriba ^r++++++arriba+
; ^punc+sent+;+++++
no ^r++++++no+
estaba ^vm+ii+?s++++estar+
aún ^r+++++!!+aún+
el ^lms+def+++++el+
catedrático ^nms+com+++++catedrático+
, ^punc++,+++++
y ^con+coor+++++y+
como ^con+sub++++!!+como+
había ^vm+ii+?s++++haber+
mucha ^d0fs+ind++++!!+mucho+
gente ^nfs+com+++++gente+
alborotadora ^n+++++??++
entre ^en++++++entre+
los ^lmp+def+++++el+
alumnos ^nmp+com+++++alumno+
, ^punc++,+++++
alguno ^p3ms+ind++++!!+alguno+
comenzó ^vm+is+3s++++comenzar+
a ^vm"+is+3s++++a+
dar ^vm+n0+00++++dar+
golpecitos ^nmp+com++dim+++golpecito+
en ^en++++++en+
el ^lms+def+++++el+
suelo ^nms+com+++++suelo+
con ^en++++++con+
el ^lms+def+++++el+
bastón ^nms+com+++++bastón+
; ^punc+sent+;+++++
otros ^d3mp+ind++++!!+otro+
muchos ^d0mp+ind++++!!+mucho+
le ^p3cs+per+++++él+
imitaron ^vm+is+3p++++imitar+
, ^punc++,+++++
y ^con+coor+++++y+
se ^p3cn+per++psv+++él+
produjo ^vm+is+3s++++producir+
una ^lfs+ind+++++un+
furiosa ^jfs++++++furioso+
algarabía ^nfs+com+++++algarabía+
. ^punc+sent+.+++++
De ^en++++++de+
pronto ^r+++++!!+pronto+
se ^p3cn+per++mtz+++él+
abrió ^vm+is+3s++++abrir+
una ^lfs+ind+++++un+
puertecilla ^nfs+com+++++puertecilla+
de ^en++++++de+
'l ^lms+def+++++el+
fondo ^nms+com+++++fondo+
de ^en++++++de+
la ^lfs+def+++++la+
tribuna ^nfs+com++++!!+tribuna+
, ^punc++,+++++
y ^con+coor+++++y+
apareció ^vm+is+3s++++aparecer+
un ^lms+ind+++++un+
señor ^nms+com++++!!+señor+
viejo ^jms+++++!!+viejo+
, ^punc++,+++++
muy ^r++++++muy+
empaquetado ^vm+ps+0s++++empaquetar+
, ^punc++,+++++
seguido ^vm+ps+0s++++seguir+
de ^en++++++de+
dos ^mcp+card++++!!+dos+
ayudantes ^nmp+com+++++ayudante+
jóvenes ^jmp+++++!!+joven+
. ^punc+sent+.+++++
Aquella ^d3fs+dem+++++aquel+
aparición ^nfs+com+++++aparición+
teatral ^jcs++++++teatral+
de ^en++++++de+
'l ^lms+def+++++el+
profesor ^nms+com+++++profesor+
y ^con+coor+++++y+
de ^en++++++de+
los ^lmp+def+++++el+
ayudantes ^nmp+com+++++ayudante+
provocó ^vm+is+3s++++provocar+
grandes ^jcp++++++grande+
murmullos ^nmp+com+++++murmullo+
; ^punc+sent+;+++++
alguno ^p3ms+ind++++!!+alguno+
de ^en++++++de+
los ^lmp+def+++++el+
alumnos ^nmp+com+++++alumno+
más ^r++++++más+
atrevidos ^jmp+++++!!+atrevido+
comenzó ^vm+is+3s++++comenzar+
a ^vm"+is+3s++++a+
aplaudir ^vm+n0+00++++aplaudir+
, ^punc++,+++++
y ^con+coor+++++y+
viendo ^vm+pp+00++++ver+
que ^que+vcomp++++!!+que+
el ^lms+def+++++el+
viejo ^jms+++++!!+viejo+
catedrático ^nms+com+++++catedrático+
, ^punc++,+++++
no ^r++++++no+
sólo ^r++++++sólo+
no ^r++++++no+
se ^p3cn+per++psv+++él+
incomodaba ^vm+ii+?s++++incomodar+
, ^punc++,+++++
sino ^con+sub+++++sino+
que ^con"+sub+++++que+
saludaba ^vm+ii+?s++++saludar+
como ^con+sub++++!!+como+
reconocido ^vm+ps+0s++++reconocer+
, ^punc++,+++++
aplaudieron ^vm+is+3p++++aplaudir+
aún ^r+++++!!+aún+
más ^r++++++más+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Esto ^p3cs+dem+++++esto+
es ^vm+ip+3s++++ser+
una ^lfs+ind+++++un+
ridiculez--dijo ^n+++++??++
Hurtado ^n+prop++++??+hurtado+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
A ^en++++++a+
él ^p3ms+per+++++él+
no ^r++++++no+
le ^p3cs+per+++++él+
debe ^vm+ip+3s++++deber+
parecer ^vm+n0+00+++!!+parecer+
eso--replicó ^n+++++??++
Aracil ^n+prop++++??+aracil+
riéndo ^n+++++??++
se ^p3cn+per++++clt++
; ^punc+sent+;+++++
- ^punc++-+++++
- ^punc++-+++++
pero ^con+coor+++++pero+
si ^con+sub+++++si+
es ^vm+ip+3s++++ser+
tan ^r+++++!!+tan+
majadero ^jms+++++!!+majadero+
que ^que+relat++++!!+que+
le ^p3cs+per+++++él+
gusta ^vm+ip+3s++++gustar+
que ^que+vcomp++++!!+que+
le ^p3cs+per+++++él+
aplaudan ^vm+++++??++
, ^punc++,+++++
le ^p3cs+per+++++él+
aplaudiremos ^vm+++++??++
. ^punc+sent+.+++++
El ^lms+def+++++el+
profesor ^nms+com+++++profesor+
era ^vm+ii+?s++++ser+
un ^lms+ind+++++un+
pobre ^n00+++++!!+pobre+
hombre ^nms+com++++!!+hombre+
presuntuoso ^jms+++++!!+presuntuoso+
, ^punc++,+++++
ridículo ^nms+com++++!!+ridículo+
. ^punc+sent+.+++++
Había ^va+ii+?s++++haber+
estudiado ^vm+ps+0s++++estudiar+
en ^en++++++en+
París ^n+prop+++++parís+
y ^con+coor+++++y+
adquirido ^vm+ps+0s++++adquirir+
los ^lmp+def+++++el+
gestos ^nmp+com+++++gesto+
y ^con+coor+++++y+
las ^lfp+def+++++la+
posturas ^nfp+com+++++postura+
amaneradas ^n+++++??++
de ^en++++++de+
un ^lms+ind+++++un+
francés ^nms+com++++!!+francés+
petulante ^jcs+++++!!+petulante+
. ^punc+sent+.+++++
El ^lms+def+++++el+
buen ^jms++++++buen+
señor ^nms+com++++!!+señor+
comenzó ^vm+is+3s++++comenzar+
un ^lms+ind+++++un+
discurso ^nms+com+++++discurso+
de ^en++++++de+
salutación ^nfs+com+++++salutación+
a ^en++++++a+
sus ^d3cp+pos+++++su+
alumnos ^nmp+com+++++alumno+
, ^punc++,+++++
muy ^r++++++muy+
enfático ^jms++++++enfático+
y ^con+coor+++++y+
altisonante ^jcs++++++altisonante+
, ^punc++,+++++
con ^en++++++con+
algunos ^d3mp+ind++++!!+alguno+
toques ^nmp+com++++!!+toque+
sentimentales ^jcp++++++sentimental+
: ^punc+sent+:+++++
les ^p3cp+per+++++él+
habló ^vm+is+3s++++hablar+
de ^en++++++de+
su ^d3cs+pos+++++su+
maestro ^n00+++++!!+maestro+
Liebig ^n+prop++++??+liebig+
, ^punc++,+++++
de ^en++++++de+
su ^d3cs+pos+++++su+
amigo ^jms+++++!!+amigo+
Pasteur ^n+prop+++++pasteur+
, ^punc++,+++++
de ^en++++++de+
su ^d3cs+pos+++++su+
camarada ^nfs+com+++++camarada+
Berthelot ^n+prop++++??+berthelot+
, ^punc++,+++++
de ^en++++++de+
la ^lfs+def+++++la+
Ciencia ^n+prop++++!!+ciencia+
, ^punc++,+++++
de ^en++++++de+
'l ^lms+def+++++el+
microscopio ^nms+com+++++microscopio+
. ^punc+sent+.+++++
. ^punc+sent+.+++++
. ^punc+sent+.+++++
Su ^d3cs+pos+++++su+
melena ^nfs+com+++++melena+
blanca ^jfs++++++blanco+
, ^punc++,+++++
su ^d3cs+pos+++++su+
bigote ^nms+com+++++bigote+
engomado ^n+++++??++
, ^punc++,+++++
su ^d3cs+pos+++++su+
perilla ^nfs+com+++++perilla+
puntiaguda ^jfs++++++puntiagudo+
, ^punc++,+++++
que ^que+relat++++!!+que+
le ^p3cs+per+++++él+
temblaba ^vm+ii+?s++++temblar+
a ^en++++++a+
'l ^lms+def+++++el+
hablar ^vm+n0+00++++hablar+
, ^punc++,+++++
su ^d3cs+pos+++++su+
voz ^nfs+com+++++voz+
hueca ^jfs++++++hueco+
y ^con+coor+++++y+
solemne ^jcs++++++solemne+
le ^p3cs+per+++++él+
daban ^vm+ii+3p++++dar+
el ^lms+def+++++el+
aspecto ^nms+com+++++aspecto+
de ^en++++++de+
un ^lms+ind+++++un+
padre ^nms+com+++++padre+
severo ^jms++++++severo+
de ^en++++++de+
drama ^nms+com+++++drama+
, ^punc++,+++++
y ^con+coor+++++y+
alguno ^p3ms+ind++++!!+alguno+
de ^en++++++de+
los ^lmp+def+++++el+
estudiantes ^ncp+com++++!!+estudiante+
que ^que+relat++++!!+que+
encontró ^vm+is+3s++++encontrar+
este ^d3ms+dem++++!!+este+
parecido ^vm+ps+0s++++parecer+
, ^punc++,+++++
recitó ^vm+is+3s++++recitar+
en ^en++++++en+
voz ^nfs+com+++++voz+
alta ^jfs++++++alto+
y ^con+coor+++++y+
cavernosa ^jfs++++++cavernoso+
los ^lmp+def+++++el+
versos ^nmp+com++++!!+verso+
de ^en++++++de+
Don ^d0ms++++++don+
Diego ^n+prop++++!!+diego+
Tenorio ^n+prop++++!!+tenorio+
, ^punc++,+++++
cuando ^con+sub++++!!+cuando+
entra ^vm+ip+3s++++entrar+
en ^en++++++en+
la ^lfs+def+++++la+
Hostería ^n+prop++++??+hostería+
de ^en++++++de+
'l ^lms+def+++++el+
Laurel ^n+prop+++++laurel+
en ^en++++++en+
el ^lms+def+++++el+
drama ^nms+com+++++drama+
de ^en++++++de+
Zorrilla ^n+prop+++++zorrilla+
: ^punc+sent+:+++++
Que ^que+relat++++!!+que+
un ^lms+ind+++++un+
hombre ^nms+com++++!!+hombre+
de ^en++++++de+
mi ^d1cs+pos+++++mi+
linaje ^nms+com+++++linaje+
descienda ^vm+sp+?s++++descender+
a ^en++++++a+
tan ^r+++++!!+tan+
ruin ^jcs++++++ruin+
